rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
413,Jim Osborne,United States,USA,false,1945-02-01,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97-112,1953,1970-02-22,46.4%
413,Leif Shiras,United States,USA,false,1959-08-21,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71-103,1876,1984-08-20,40.8%
413,Patrik Kuhnen,Germany,GER,false,1966-02-11,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127-153,1949,1990-04-30,45.4%
413,Peter Rennert,United States,USA,false,1958-12-26,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49-60,1900,1981-06-15,45.0%
413,Rodney Harmon,United States,USA,false,1961-08-16,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34-42,1908,1984-07-09,44.7%
413,Thierry Champion,France,FRA,false,1966-08-31,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102-164,1928,1991-10-07,38.3%
413,Vladimir Voltchkov,Belarus,BLR,false,1978-04-07,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72-91,1942,2001-02-26,44.2%
506,Alejandro Olmedo,Peru,PER,false,1936-03-24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46-56,1975,1968-07-14,45.1%
506,Alex Antonitsch,Austria,AUT,false,1966-02-08,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106-144,1976,1990-07-09,42.4%
506,Alex Calatrava,Spain,ESP,false,1973-06-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67-109,1894,2001-06-11,38.1%
506,Alexei Popyrin,Australia,AUS,true,1999-08-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23-30,1892,2021-03-01,43.4%
506,Antony Dupuis,France,FRA,false,1973-02-24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85-128,1878,2004-02-16,39.9%
506,Benjamin Becker,Germany,GER,false,1981-06-16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,153-220,1917,2015-02-02,41.0%
506,Bernard Mignot,Belgium,BEL,false,1948-12-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51-61,1895,1975-02-16,45.5%
506,Birger Andersson,Sweden,SWE,false,1951-03-26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37-69,1825,1975-08-01,34.9%
506,Carsten Arriens,Germany,GER,false,1969-04-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28-36,1852,1995-03-06,43.8%
506,Christian Miniussi,Argentina,ARG,false,1967-07-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58-82,1883,1991-11-11,41.4%
506,Chuck Adams,United States,USA,false,1971-04-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83-93,1950,1994-08-29,47.2%
506,Claudio Mezzadri,Switzerland,SUI,false,1965-06-10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117-137,1963,1988-02-15,46.1%
506,Claudio Panatta,Italy,ITA,false,1960-02-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105-142,1898,1984-06-11,42.5%
506,Claudio Pistolesi,Italy,ITA,false,1967-08-25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77-111,1863,1987-04-13,41.0%
506,Colin Dowdeswell,United Kingdom,GBR,false,1955-05-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,118-176,1882,1983-11-28,40.1%
506,Dan Cassidy,United States,USA,false,1961-04-29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35-75,1837,1984-12-31,31.8%
506,Daniele Bracciali,Italy,ITA,false,1978-01-10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35-55,1864,2006-07-17,38.9%
506,Daniel Evans,United Kingdom,GBR,true,1990-05-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78-83,2002,2021-02-08,48.4%
506,Danny Saltz,United States,USA,false,1961-07-30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17-20,1821,1984-05-13,45.9%
506,Dimitri Poliakov,Ukraine,UKR,false,1968-01-19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35-47,1840,1991-08-05,42.7%
506,Dominique Bedel,France,FRA,false,1957-02-20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59-88,1846,1979-06-22,40.1%
506,Eddie Edwards,South Africa,RSA,false,1956-07-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87-134,1896,1986-07-14,39.4%
506,Eric Jelen,Germany,GER,false,1965-03-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135-136,1971,1989-07-10,49.8%
506,Erick Iskersky,United States,USA,false,1958-01-25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33-62,1840,1982-05-03,34.7%
506,Frederic Fontang,France,FRA,false,1970-03-18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28-60,1844,1991-10-14,31.8%
506,Fritz Buehning,United States,USA,false,1960-03-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114-120,2003,1981-03-16,48.7%
506,Gabriel Markus,Argentina,ARG,false,1970-03-31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59-72,1908,1992-07-27,45.0%
506,Gianluca Pozzi,Italy,ITA,false,1965-06-17,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175-258,1948,2000-11-20,40.4%
506,Gianni Ocleppo,Italy,ITA,false,1957-04-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103-127,1958,1981-04-20,44.8%
506,Guillaume Raoux,France,FRA,false,1970-02-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,179-225,1975,1998-02-23,44.3%
506,Hans Kary,Austria,AUT,false,1949-02-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,166-229,1917,1976-05-24,42.0%
506,Hernan Gumy,Argentina,ARG,false,1972-03-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115-128,1939,1996-01-29,47.3%
506,Howard Schoenfield,United States,USA,false,1957-11-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11-42,1803,1980-04-21,20.8%
506,Hyung Taik Lee,"Korea, Republic of",KOR,false,1976-01-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,161-164,1964,2008-03-24,49.5%
506,Igor Kunitsyn,Russian Federation,RUS,false,1981-09-30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89-153,1868,2008-10-13,36.8%
506,Ivan Dodig,Croatia,CRO,false,1985-01-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,118-140,2021,2013-10-07,45.7%
506,Jan Leschly,Denmark,DEN,false,1940-09-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-34,2033,1968-02-27,60.5%
506,Jan Norback,Sweden,SWE,false,1956-03-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37-77,1840,1981-07-20,32.5%
506,Jan Vacek,Czech Republic,CZE,false,1976-05-10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30-60,1845,2001-10-29,33.3%
506,Jared Palmer,United States,USA,false,1971-07-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69-80,1968,1994-11-14,46.3%
506,Jay Lapidus,United States,USA,false,1959-05-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75-106,1916,1982-12-21,41.4%
506,Jeff Austin,United States,USA,false,1951-07-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-81,1827,1974-02-03,39.1%
506,Jeremy Bates,United Kingdom,GBR,false,1962-06-19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,130-192,1887,1989-11-20,40.4%
506,Jerome Haehnel,France,FRA,false,1980-07-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8-18,1846,2004-11-01,30.8%
506,Jim Pugh,United States,USA,false,1964-02-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85-95,1973,1989-08-07,47.2%
506,Jordi Burillo,Spain,ESP,false,1972-12-07,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92-129,1913,1996-05-13,41.6%
506,Jose Francisco Altur,Spain,ESP,false,1968-03-24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31-66,1828,1990-01-29,32.0%
506,Juan Antonio Marin,Costa Rica,CRC,false,1975-03-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80-123,1853,2000-01-10,39.4%
506,Juan Balcells,Spain,ESP,false,1975-06-20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41-49,1915,2001-05-07,45.6%
506,Juan Ignacio Londero,Argentina,ARG,true,1993-08-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31-38,1901,2019-09-09,44.9%
506,Juan Manuel Cerundolo,Argentina,ARG,true,2001-11-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5-1,1500,,83.3%
506,Julien Boutter,France,FRA,false,1974-04-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62-84,1982,2002-05-20,42.5%
506,Kjell Johansson,Sweden,SWE,false,1951-02-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124-143,1961,1978-05-22,46.4%
506,Lars Burgsmuller,Germany,GER,false,1975-12-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90-152,1903,2001-06-18,37.2%
506,Lars Elvstrom,Denmark,DEN,false,1949-08-18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15-21,1752,1976-01-25,41.7%
506,Leonardo Lavalle,Mexico,MEX,false,1967-07-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84-115,1933,1989-07-28,42.2%
506,Libor Pimek,Belgium,BEL,false,1963-08-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126-121,2000,1984-08-20,51.0%
506,Mark Koevermans,Netherlands,NED,false,1968-02-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72-84,1938,1991-05-20,46.2%
506,Marko Ostoja,Croatia,CRO,false,1960-10-20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88-142,1862,1982-07-26,38.3%
506,Markus Zoecke,Germany,GER,false,1968-05-10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67-103,1907,1992-03-24,39.4%
506,Mark Vines,United States,USA,false,1957-02-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8-24,1832,1981-11-02,25.0%
506,Massimiliano Narducci,Italy,ITA,false,1964-02-25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18-27,1821,1988-06-06,40.0%
506,Matt Anger,United States,USA,false,1963-06-20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82-106,1946,1986-02-24,43.6%
506,Matt Doyle,United States,USA,false,1958-01-13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63-76,1932,1983-10-31,45.3%
506,Matt Mitchell,United States,USA,false,1957-03-16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64-104,1890,1985-03-18,38.1%
506,Mauricio Hadad,Colombia,COL,false,1971-12-07,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66-54,1922,1996-02-16,55.0%
506,Michal Tabara,Czech Republic,CZE,false,1979-08-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40-55,1868,2001-05-28,42.1%
506,Mikhail Kukushkin,Kazakhstan,KAZ,true,1987-12-26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,167-211,1943,2019-02-25,44.2%
506,Miomir Kecmanovic,Serbia,SRB,true,1999-08-31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44-39,1958,2020-09-14,53.0%
506,Mirza Basic,Bosnia and Herzegovina,BIH,false,1991-07-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31-36,1905,2018-02-12,46.3%
506,Nduka Odizor,Nigeria,NGR,false,1958-08-09,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96-128,1896,1983-11-14,42.9%
506,Neville Godwin,South Africa,RSA,false,1975-01-31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36-56,1841,2001-07-16,39.1%
506,Nicklas Kroon,Sweden,SWE,false,1966-02-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48-65,1928,1990-07-09,42.5%
506,Nick Saviano,United States,USA,false,1956-06-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,162-200,1937,1979-11-12,44.8%
506,Nicola Pietrangeli,Italy,ITA,false,1933-09-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51-36,1976,1968-05-30,58.6%
506,Nicolas Jarry,Chile,CHI,true,1995-10-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-57,1939,2019-07-22,47.7%
506,Paolo Lorenzi,Italy,ITA,true,1981-12-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110-183,1896,2017-09-11,37.5%
506,Per Hjertquist,Sweden,SWE,false,1960-04-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60-73,1920,1981-03-13,45.1%
506,Peter Doohan,Australia,AUS,false,1961-05-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50-82,1892,1987-07-06,37.9%
506,Peter Gojowczyk,Germany,GER,true,1989-07-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62-76,1935,2018-02-26,44.9%
506,Peter Wessels,Netherlands,NED,false,1978-05-07,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45-60,1897,2001-06-25,42.9%
506,Pieter Aldrich,South Africa,RSA,false,1965-09-07,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36-40,1859,1990-10-15,47.4%
506,Radu Albot,"Moldova, Republic of",MDA,true,1989-11-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85-107,1936,2019-05-27,44.3%
506,Ramanathan Krishnan,India,IND,false,1937-04-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22-13,1840,1969-05-17,62.9%
506,Ricardo Mello,Brazil,BRA,false,1980-12-21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60-94,1902,2005-02-21,39.0%
506,Richard Meyer,United States,USA,false,1955-09-04,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42-77,1852,1980-11-24,35.3%
506,Ricki Osterthun,Germany,GER,false,1964-05-02,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60-79,1883,1987-10-19,43.2%
506,Robbie Weiss,United States,USA,false,1966-12-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48-78,1862,1993-02-01,38.1%
506,Roberto Arguello,Argentina,ARG,false,1963-05-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61-84,1870,1985-09-30,42.1%
506,Roberto Carballes Baena,Spain,ESP,true,1993-03-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54-66,1854,2020-10-12,45.0%
506,Rolf Gehring,Germany,GER,false,1955-11-25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120-144,1964,1981-05-25,45.5%
506,Ron Holmberg,United States,USA,false,1938-01-27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45-69,1980,1968-09-12,39.5%
506,Ryan Harrison,United States,USA,true,1992-05-07,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,118-159,1953,2018-03-05,42.6%
506,Ryan Sweeting,United States,USA,false,1987-07-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35-57,1887,2011-04-11,38.0%
506,Santiago Ventura,Spain,ESP,false,1980-01-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38-59,1870,2004-07-26,39.2%
506,Sargis Sargsian,Armenia,ARM,false,1973-06-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155-209,1959,2004-01-12,42.6%
506,Simone Colombo,Italy,ITA,false,1963-08-28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35-54,1839,1986-10-06,39.3%
506,Taro Daniel,Japan,JPN,true,1993-01-27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50-82,1882,2018-08-27,37.9%
506,Thiago Seyboth Wild,Brazil,BRA,true,2000-03-10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7-8,1804,2020-03-02,46.7%
506,Wayne Arthurs,Australia,AUS,false,1971-03-18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133-159,1948,2001-06-25,45.5%
506,Werner Zirngibl,Germany,GER,false,1956-09-04,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42-70,1816,1978-06-19,37.5%
506,William Harris,United States,USA,false,1947-01-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7-8,1659,1969-07-14,46.7%
506,Yoshihito Nishioka,Japan,JPN,true,1995-09-27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67-74,1977,2020-02-24,47.5%
506,Yuichi Sugita,Japan,JPN,true,1988-09-18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54-86,1933,2017-10-23,38.6%
506,Alex Radulescu,Germany,GER,false,1974-12-07,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40-56,1905,1997-09-29,41.7%
506,Andre Sa,Brazil,BRA,false,1977-05-06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52-92,1877,2002-07-29,36.1%
506,Belus Prajoux,Chile,CHI,false,1955-02-27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88-132,1893,1977-04-04,40.0%
506,Boro Jovanovic,Croatia,CRO,false,1939-10-21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-85,1881,1973-06-16,41.0%
506,Brad Pearce,United States,USA,false,1966-03-21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-79,1890,1990-08-27,34.2%
506,Brett Steven,New Zealand,NZL,false,1969-04-27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175-166,2011,1995-09-11,51.3%
506,Broderick Dyke,Australia,AUS,false,1960-12-31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78-121,1895,1986-03-24,39.2%
506,Bruce Manson,United States,USA,false,1956-03-20,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126-172,1963,1982-01-26,42.3%
506,Byron Bertram,South Africa,RSA,false,1952-10-29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111-140,1943,1977-07-04,44.2%
506,Chip Hooper,United States,USA,false,1958-10-24,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104-119,1988,1983-03-28,46.6%
506,Christo Steyn,South Africa,RSA,false,1961-05-01,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43-53,1917,1986-10-13,44.8%
506,Diego Nargiso,Italy,ITA,false,1970-03-15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100-154,1890,1992-03-24,39.4%
506,Drew Gitlin,United States,USA,false,1958-05-26,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34-48,1844,1983-07-18,41.5%
506,Emilio Benfele Alvarez,Spain,ESP,false,1972-11-15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45-67,1862,1997-05-19,40.2%
